Inclusion criteria,Exclusion criteria
Patterns concerning the chatbot interface,Patterns concerning the interfaces of the browser or the website including the chatbot
Patterns concerning web interfaces,Patterns concerning Software-as-a-Service or tasks which are not feasible for chatbots
Chatbot functionalities applicable to web interfaces,Chatbot functionalities related to desktop or mobile applications
Chatbot functionalities which are not bound to specific platforms,Chatbot functionalities which are not clearly distinguished from others
